vorname,anzahl,geschlecht
Maximilian,178,m
Felix,134,m
Anna,119,w
Emma,113,w
Lukas,109,m
Emilia,109,w
Paul,106,m
David,104,m
Moritz,98,m
Julian,96,m
Jakob,95,m
Noah,90,m
Alexander,85,m
Marie,85,w
Sophia,84,w
Johanna,83,w
Jonas,82,m
Vincent,76,m
Elias,75,m
Anton,74,m
Amelie,74,w
Charlotte,74,w
Mia,74,w
Sophie,73,w
Samuel,71,m
Leon,70,m
Lena,70,w
Emil,69,m
Julia,65,w
Valentin,64,m
Clara,64,w
Laura,64,w
Lea,64,w
Jonathan,63,m
Benjamin,62,m
Luis,62,m
Leopold,61,m
Luisa,59,w
Sebastian,57,m
Hannah,57,w
Simon,56,m
Max,55,m
Sarah,52,w
Ben,50,m
Leo,50,m
Lara,50,w
Magdalena,50,w
Julius,49,m
Philipp,49,m
Ella,49,w
Greta,49,w
Mila,49,w
Theresa,49,w
Daniel,48,m
Maria,48,w
Sara,48,w
Hanna,46,w
Helena,46,w
Antonia,45,w
Luca,44,m
Niklas,44,m
Marlene,44,w
Paula,44,w
Raphael,43,m
Leonard,41,m
Ludwig,41,m
Emily,41,w
Valentina,41,w
Fabian,40,m
Ida,40,w
Ferdinand,39,m
Oskar,39,m
Tim,39,m
Benedikt,37,m
Elisa,37,w
Isabella,36,w
Mathilda,36,w
Sofia,36,w
Dominik,34,m
Gabriel,34,m
Henry,34,m
Nicolas,34,m
Maya,34,w
Louis,33,m
Frida,33,w
Leni,33,w
Lina,33,w
Maja,32,w
Matilda,32,w
Nora,32,w
Henri,31,m
Theo,31,m
Klara,31,w
Victoria,31,w
Johann,30,m
Katharina,30,w
Lisa,30,w
Florian,29,m
Tobias,29,m
Elena,29,w
Adrian,28,m
Jan,28,m
Johannes,28,m
Carla,28,w
Melina,28,w
Zoe,28,w
Konstantin,27,m
Linus,27,m
Lucas,27,m
Viktoria,27,w
Theodor,26,m
Xaver,26,m
Leonie,26,w
Lilly,26,w
Matteo,25,m
Alina,25,w
Annika,25,w
Louisa,25,w
Emir,24,m
Hannes,24,m
Quirin,24,m
Nina,24,w
Constantin,23,m
Oscar,23,m
Alma,23,w
Elisabeth,23,w
Carl,22,m
Luise,22,w
Olivia,22,w
Pia,22,w
Lorenz,21,m
Manuel,21,m
Eva,21,w
Franziska,21,w
Lotta,21,w
Lucia,21,w
Pauline,21,w
Justus,20,m
Kilian,20,m
Luka,20,m
Mateo,20,m
Anastasia,20,w
Erik,19,m
Finn,19,m
Michael,19,m
Aurelia,19,w
Josephine,19,w
Joshua,18,m
Liam,18,m
Carlotta,18,w
Bastian,17,m
Bruno,17,m
Jonah,17,m
Levi,17,m
Rafael,17,m
Alexandra,17,w
Frieda,17,w
Josefine,17,w
Lia,17,w
Miriam,17,w
Ali,16,m
Arthur,16,m
Filip,16,m
Franz,16,m
Jacob,16,m
Leonardo,16,m
Yusuf,16,m
Ava,16,w
Emilie,16,w
Helene,16,w
Mira,16,w
Romy,16,w
Rosalie,16,w
Selina,16,w
Adam,15,m
Hugo,15,m
Karl,15,m
Korbinian,15,m
Oliver,15,m
Amelia,15,w
Elif,15,w
Karla,15,w
Luna,15,w
Paulina,15,w
Stella,15,w
Valerie,15,w
Aaron,14,m
Arian,14,m
Emilio,14,m
Gustav,14,m
Kerem,14,m
Lennard,14,m
Martin,14,m
Mats,14,m
Milan,14,m
Tom,14,m
Chiara,14,w
Felicitas,14,w
Fiona,14,w
Livia,14,w
Laurenz,13,m
Marco,13,m
Marko,13,m
Nick,13,m
Nils,13,m
Alisa,13,w
Amalia,13,w
Ela,13,w
Elise,13,w
Isabel,13,w
Milena,13,w
Milla,13,w
Noemi,13,w
Andreas,12,m
Antonio,12,m
Deniz,12,m
Frederik,12,m
Leander,12,m
Levin,12,m
Marc,12,m
Matthias,12,m
Ana,12,w
Aurora,12,w
Elsa,12,w
Hana,12,w
Linda,12,w
Martha,12,w
