vorname,anzahl,geschlecht
Maximilian,166,m
Felix,124,m
Anna,109,w
David,109,m
Sophia,108,w
Emilia,103,w
Moritz,103,m
Jakob,99,m
Paul,99,m
Emma,93,w
Julian,89,m
Alexander,82,m
Vincent,81,m
Sophie,80,w
Marie,78,w
Johanna,77,w
Leon,77,m
Lukas,76,m
Noah,75,m
Anton,71,m
Emil,71,m
Mia,71,w
Helena,67,w
Luisa,66,w
Laura,65,w
Lena,65,w
Ella,64,w
Benjamin,63,m
Amelie,62,w
Luis,62,m
Clara,61,w
Lara,60,w
Valentin,59,m
Jonas,58,m
Leo,57,m
Daniel,56,m
Julia,55,w
Lina,53,w
Luca,53,m
Philipp,53,m
Elias,52,m
Jonathan,52,m
Theresa,52,w
Paula,51,w
Tim,51,m
Antonia,50,w
Emily,50,w
Niklas,50,m
Elisa,49,w
Lea,49,w
Samuel,49,m
Marlene,48,w
Simon,48,m
Charlotte,47,w
Leopold,47,m
Magdalena,47,w
Hannah,46,w
Louis,46,m
Greta,45,w
Ben,44,m
Leonie,43,w
Matilda,43,w
Mila,43,w
Hanna,42,w
Leonard,42,m
Oskar,42,m
Valentina,42,w
Benedikt,41,m
Ludwig,41,m
Sebastian,41,m
Fabian,40,m
Ferdinand,40,m
Maja,40,w
Sarah,40,w
Florian,39,m
Julius,39,m
Sara,37,w
Max,36,m
Franziska,35,w
Maria,35,w
Josephine,34,w
Adrian,33,m
Gabriel,33,m
Mathilda,33,w
Raphael,33,m
Isabella,32,w
Konstantin,32,m
Lucas,32,m
Elena,31,w
Lisa,31,w
Sofia,31,w
Victoria,31,w
Henri,30,m
Johann,30,m
Katharina,30,w
Klara,30,w
Lilly,30,w
Annika,29,w
Elisabeth,29,w
Jan,29,m
Finn,28,m
Linus,27,m
Nicolas,27,m
Rafael,27,m
Theo,27,m
Tobias,27,m
Xaver,27,m
Alina,26,w
Lorenz,26,m
Ida,25,w
Levi,25,m
Oscar,25,m
Carla,24,w
Leni,24,w
Carlotta,23,w
Johannes,23,m
Korbinian,23,m
Lucia,23,w
Maya,23,w
Michael,23,m
Nico,23,m
Nora,23,w
Quirin,23,m
Christian,22,m
Isabel,22,w
Kilian,22,m
Bastian,21,m
Frida,21,w
Jasmin,21,w
Linda,21,w
Mina,21,w
Nils,21,m
Paulina,21,w
Ali,20,m
Alma,20,w
Leonhard,20,m
Liam,20,m
Luise,20,w
Rosalie,20,w
Theodor,20,m
Fiona,19,w
