id,Completed,Last page,Start language,Date started,Date last action,Referring URL,consent,prolificID,age,gender,gender - comment,statements [1],statements [2],statements [3],statements [4],statements [5],statements [6],statements [7],statements [8],statements [9],statements [10],statements [11],statements [12],statements [13],statements [14],statements [15],statements [16],statements [17],statements [18],statements [19],statements [20],statements [21],statements [22],statements [23],statements [24],statements [25],statements [26],statements [27],statements [28],statements [29],statements [30],statements [31],statements [32],statements [33],statements [34],statements [35],statements [36],statements [37],statements [38],statements [39],statements [40],statements [41],statements [42],statements [43],statements [44],statements [45],statements [46],statements [47],statements [48],statements [49],statements [50],statements [51],statements [52],statements [53],statements [54],statements [55],statements [56],statements [57],statements [58],statements [59],statements [60],statements [61],statements [62],statements [63],statements [64],statements [65],statements [66],statements [67],statements [68],statements [69],statements [70],statements [71],statements [72],statements [73],statements [74],statements [75],statements [76],statements [77],statements [78],statements [79],statements [80],statements [81],statements [82],statements [83],statements [84],statements [85],statements [86],statements [87],statements [88],statements [89],statements [90],statements [91],statements [92],statements [93],statements [94],statements [95],statements [96],statements [97],statements [98],statements [99],statements [100],statements [101],statements [102],statements [103],statements [104],statements [105],statements [106],statements [107],statements [108],statements [109],statements [110],statements [111],statements [112],statements [113],statements [114],statements [115],statements [116],statements [117],statements [118],statements [119],statements [120],statements [121],statements [122],statements [123],statements [124],statements [125],statements [126],statements [127],statements [128],statements [c1],statements [c2],statements [c3],statements [c4],interviewtime,groupTime641,consentTime,groupTime631,prolificIDTime,ageTime,genderTime,groupTime621,statementsTime
1,,,en,06/01/17 17:21,06/01/17 17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
11,,1,en,06/01/17 17:21,06/01/17 17:23,https://www.limey.ugent.be/LIPLAB/index.php/263432?move=clearall&lang=en,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.2,,,,,,,
21,,,en,06/01/17 17:23,06/01/17 17:23,https://www.prolific.ac/demo/active?study=586d0fde6e2f8d00015c5c94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
31,,,en,06/01/17 17:23,06/01/17 17:23,https://www.limey.ugent.be/LIPLAB/index.php/263432/lang-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
41,,2,en,06/01/17 17:28,06/01/17 17:29,https://www.prolific.ac/submissions/586fc5b9ce4b28000172848f,Y,,26,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.04,33.12,,18.92,,,,,
51,06/01/17 17:37,3,en,06/01/17 17:28,06/01/17 17:37,https://www.prolific.ac/submissions/586fc5bdeae9d5000140e23d,Y,,25,f,,1,1,2,3,5,2,4,5,1,4,2,2,3,3,1,5,2,2,1,5,3,1,1,1,1,1,2,5,2,1,1,4,1,4,2,1,2,5,2,1,2,3,5,3,1,4,1,1,4,2,4,3,5,4,2,4,1,4,4,5,1,4,1,5,5,3,5,4,2,5,1,3,4,5,1,4,1,4,5,4,3,4,4,1,2,5,5,2,1,1,2,1,5,2,5,2,2,2,3,5,1,1,5,4,5,1,4,1,2,5,2,4,2,4,1,4,5,1,4,1,5,2,5,5,1,3,2,1,4,4,2,2,481.89,14.61,,8.01,,,,459.27,
61,06/01/17 17:39,3,en,06/01/17 17:28,06/01/17 17:39,https://www.prolific.ac/submissions/586fc5beda731b000104a316,Y,,27,f,,2,2,4,1,1,2,2,4,1,4,2,2,2,2,2,5,2,4,2,2,4,1,2,2,2,1,3,4,2,2,1,4,2,1,2,1,2,4,1,1,1,2,2,4,2,2,2,2,2,2,4,3,4,2,2,4,2,4,2,4,4,2,1,4,4,3,4,4,3,4,1,1,1,4,2,4,2,2,4,4,4,2,4,1,1,1,4,1,2,1,1,2,4,2,5,4,1,4,2,4,4,2,5,2,4,2,3,1,3,4,2,4,2,3,3,3,2,1,4,1,5,4,4,4,2,2,1,2,4,4,2,2,619.14,14.98,,13.82,,,,590.34,
71,06/01/17 17:40,3,en,06/01/17 17:28,06/01/17 17:40,https://www.prolific.ac/submissions/586fc5bf327dab000199deba,Y,,34,f,,1,1,5,1,1,1,4,5,1,5,2,4,3,1,1,4,1,1,1,4,1,1,1,1,1,1,2,5,2,1,1,4,1,2,2,1,4,5,1,1,2,1,4,1,1,3,1,1,2,1,4,4,5,2,1,5,1,3,2,5,2,4,1,4,5,4,5,5,2,4,1,4,1,5,1,4,1,3,4,4,2,4,4,1,1,1,5,1,1,2,1,4,4,2,5,2,1,1,2,4,1,1,5,2,5,1,5,1,1,5,1,2,1,5,2,4,4,2,5,1,5,4,5,5,1,2,1,1,4,4,2,2,710.33,25.78,,27.61,,,,656.94,
81,06/01/17 17:46,3,en,06/01/17 17:28,06/01/17 17:46,https://www.prolific.ac/submissions/586fc5c1db3e720001e23091,Y,,27,m,,1,2,2,1,2,1,4,3,1,4,3,2,3,2,2,4,3,2,2,3,2,1,2,1,2,1,2,5,2,1,1,4,1,1,2,1,3,3,2,1,3,2,3,5,2,4,3,1,3,3,2,3,5,3,3,4,2,4,2,5,3,1,1,3,5,3,4,3,1,2,1,2,3,4,3,3,1,2,3,2,3,4,5,1,1,3,4,2,1,1,1,3,4,3,5,3,1,1,2,3,5,3,5,3,5,1,4,1,3,4,1,3,3,3,2,4,3,1,4,2,4,2,3,4,2,1,1,1,4,4,2,2,1038.84,177.87,,7.95,,,,853.02,
91,06/01/17 17:41,3,en,06/01/17 17:28,06/01/17 17:41,https://www.prolific.ac/submissions/586fc5c27fbbcd00013978bc,Y,,33,f,,1,1,3,1,1,1,4,5,1,4,1,3,3,1,1,5,3,1,4,2,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,4,5,3,1,1,1,4,3,3,5,1,2,3,3,4,3,5,4,1,5,2,4,3,5,1,1,1,5,5,3,4,4,1,4,1,1,1,5,1,4,1,5,4,5,2,5,5,1,1,5,5,1,1,1,3,5,4,3,5,3,1,1,1,4,4,1,5,2,5,1,3,1,1,5,1,5,4,5,1,1,4,1,5,1,5,2,5,4,1,3,1,1,4,4,2,4,693.33,11.43,,20.25,,,,661.65,
